Title,Organization,Skills,Platform
Google Cybersecurity,Google," network security, python programming, linux, cloud computing, algorithms, audit, computer programming, computer security incident management, cryptography, databases, leadership and management, network architecture, risk management, sql",Coursera
Google Data Analytics,Google," data analysis, r programming, sql, business communication, spreadsheet software, business analysis, data visualization, data management, general statistics, big data, communication, computer programming, data science, data visualization software, databases, exploratory data analysis, extract, transform, load, leadership and management, microsoft excel, problem solving, small data, statistical programming, tableau software",Coursera
Google Project Management:,Google," project management, strategy and operations, leadership and management, communication, business communication, collaboration, agile software development, software engineering, entrepreneurship, scrum (software development), planning, supply chain and logistics, change management, finance, organizational development, product management, risk management, budget management, influencing, culture, emotional intelligence, people management, problem solving, procurement",Coursera
IBM Data Science,IBM," python programming, data science, machine learning, data analysis, algorithms, data management, data visualization, human learning, r programming, computer programming, data mining, data structures, database administration, database application, database theory, databases, deep learning, exploratory data analysis, machine learning algorithms, plot (graphics), sql, data model, statistical machine learning, general statistics, probability & statistics, regression, reinforcement learning, statistical programming, big data, cloud computing, ibm cloud, writing",Coursera
Google Digital Marketing & E-commerce,Google," digital marketing, marketing, marketing management, media strategy & planning, sales, e-commerce, data analysis, social media, search engine optimization, advertising, communication, persona research, strategy, web design, web development, web development tools, writing, data management, market analysis",Coursera
IBM Data Analyst,IBM," python programming, microsoft excel, data visualization, spreadsheet software, data analysis, databases, sql, plot (graphics), data management, data structures, exploratory data analysis, machine learning, business analysis, computer programming, database administration, database application, database theory, statistical visualization, data mining, data science, general statistics, nosql, r programming, cloud computing, data visualization software, ibm cloud, interactive data visualization, machine learning algorithms, probability & statistics, regression, statistical programming",Coursera
Google IT Support,Google," computer networking, network architecture, network model, networking hardware, network analysis, computer architecture, critical thinking, problem solving, communication, human computer interaction, network security, linux, system security, cloud computing, computer programming, customer support, cryptography, leadership and management, operating systems",Coursera
Machine Learning,Multiple educators," machine learning, machine learning algorithms, applied machine learning, algorithms, deep learning, machine learning software, artificial neural networks, human learning, python programming, regression, statistical machine learning, tensorflow, mathematics, critical thinking, network model, reinforcement learning",Coursera
Google UX Design,Google," user experience, user experience design, user research, audit, collaboration, human computer interaction, planning, product design, product development, social media, web design, web development tools",Coursera
IBM DevOps and Software Engineering,IBM," devops, software engineering, cloud computing, computer programming, application development, python programming, software architecture, cloud applications, continuous delivery, continuous integration, software engineering tools, agile software development, programming principles, security engineering, software testing, cloud infrastructure, kubernetes, cloud-based integration, microarchitecture, cloud platforms, communication, ibm cloud, scrum (software development), software security, cloud storage, docker (software), linux, software-defined networking, technical product management, collaboration, leadership and management, data analysis, mergers & acquisitions",Coursera
IBM Applied AI,IBM," machine learning, deep learning, machine learning algorithms, artificial neural networks, python programming, cloud computing, computer vision, human learning, ibm cloud, applied machine learning, algorithms, cloud api, machine learning software, natural language processing, human computer interaction, computer programming, cloud applications, computer programming tools, application development, visualization (computer graphics), data analysis, critical thinking, cloud-based integration, software as a service, data science",Coursera
IBM Full Stack Software Developer,IBM," cloud computing, python programming, cloud applications, computer programming, ibm cloud, application development, cloud infrastructure, devops, web development, cloud management, cloud platforms, javascript, software architecture, cloud api, cloud storage, cloud-based integration, full-stack web development, software engineering, continuous delivery, continuous integration, docker (software), software as a service, microarchitecture, django (web framework), database application, databases, kubernetes, sql, software engineering tools, data management, nosql, collaboration, computer science, data analysis, front-end web development, leadership and management, mergers & acquisitions, react (web framework)",Coursera
