epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,127.698,0.62523,0.66,1,0.72461,0.0676226,0.000327044,0.000327044
2,184.59,0.50813,0.63,1,0.94287,0.0346008,0.000638585,0.000638585
3,242.045,0.54947,0.7,1,0.61981,0.00155706,0.000928126,0.000928126
4,298.865,0.51302,0.82,1,0.57672,0.000901,0.000901,0.000901
5,356.249,0.58071,0.67,1,0.62738,0.000868,0.000868,0.000868
6,412.754,0.54588,0.66,1,0.99658,0.000835,0.000835,0.000835
7,470.427,0.55395,0.68,1,0.53467,0.000802,0.000802,0.000802
8,526.072,0.44818,0.68,1,0.83655,0.000769,0.000769,0.000769
9,582.294,0.45556,0.7,1,0.56085,0.000736,0.000736,0.000736
10,639.535,0.4504,0.75,1,0.53857,0.000703,0.000703,0.000703
11,693.599,0.46046,0.68,1,0.55414,0.00067,0.00067,0.00067
12,750.474,0.44148,0.72,1,0.65613,0.000637,0.000637,0.000637
13,807.328,0.42335,0.77,1,0.57996,0.000604,0.000604,0.000604
14,862.148,0.38582,0.73,1,0.69751,0.000571,0.000571,0.000571
15,917.741,0.34679,0.69,1,0.56243,0.000538,0.000538,0.000538
16,973.837,0.30445,0.71,1,0.77722,0.000505,0.000505,0.000505
17,1028.88,0.32117,0.69,1,0.71277,0.000472,0.000472,0.000472
18,1082.64,0.28567,0.69,1,0.77759,0.000439,0.000439,0.000439
19,1140.59,0.28908,0.7,1,1.07788,0.000406,0.000406,0.000406
20,1195.77,0.28183,0.69,1,1.02234,0.000373,0.000373,0.000373
21,1254.29,0.23016,0.73,1,0.8587,0.00034,0.00034,0.00034
22,1310.67,0.25433,0.73,1,0.83264,0.000307,0.000307,0.000307
23,1364.95,0.22912,0.68,1,0.9895,0.000274,0.000274,0.000274
24,1423.19,0.17615,0.67,1,0.828,0.000241,0.000241,0.000241
25,1481.35,0.16842,0.73,1,0.58816,0.000208,0.000208,0.000208
26,1536.61,0.18324,0.72,1,0.69876,0.000175,0.000175,0.000175
27,1594.45,0.17592,0.7,1,1.47229,0.000142,0.000142,0.000142
28,1650.29,0.14618,0.67,1,0.71271,0.000109,0.000109,0.000109
29,1707.06,0.12936,0.68,1,0.74234,7.6e-05,7.6e-05,7.6e-05
30,1761.61,0.12726,0.71,1,0.6909,4.3e-05,4.3e-05,4.3e-05
