epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,114.744,0.6112,0.69,1,0.53625,0.000545182,0.000545182,0.000545182
2,219.204,0.63338,0.61,1,4.97559,0.00104636,0.00104636,0.00104636
3,329.088,0.7266,0.53,1,2.55835,0.00149252,0.00149252,0.00149252
4,451.646,0.64552,0.74,1,0.91614,0.00141945,0.00141945,0.00141945
5,555.521,0.63561,0.71,1,0.7276,0.00133693,0.00133693,0.00133693
6,653.115,0.65718,0.75,1,0.54828,0.00125442,0.00125442,0.00125442
7,761.277,0.62245,0.69,1,0.59558,0.0011719,0.0011719,0.0011719
8,877.165,0.59856,0.6,1,0.7511,0.00108938,0.00108938,0.00108938
9,1015.12,0.60639,0.64,1,0.59984,0.00100687,0.00100687,0.00100687
10,1194.4,0.56364,0.7,1,0.54382,0.000924352,0.000924352,0.000924352
11,1302.5,0.55232,0.7,1,0.60608,0.000841835,0.000841835,0.000841835
12,1416.21,0.5721,0.76,1,0.5379,0.000759318,0.000759318,0.000759318
13,1536.78,0.549,0.76,1,0.69391,0.000676802,0.000676802,0.000676802
14,1694.1,0.54089,0.72,1,0.54742,0.000594286,0.000594286,0.000594286
15,1900.43,0.51434,0.71,1,0.53485,0.000511769,0.000511769,0.000511769
16,1995.73,0.51442,0.71,1,0.76642,0.000429253,0.000429253,0.000429253
17,2102.89,0.49403,0.77,1,0.50677,0.000346736,0.000346736,0.000346736
18,2219.62,0.50155,0.7,1,0.64227,0.00026422,0.00026422,0.00026422
19,2307.23,0.48972,0.74,1,0.89209,0.000181703,0.000181703,0.000181703
20,2402.32,0.469,0.74,1,0.99548,9.91865e-05,9.91865e-05,9.91865e-05
